id,date,scientific name,name,score,latitude,longitude,altitude,accuracy,notes,tags,predictions,questionnaire
"c5efd06c-caa2-5fe3-9c72-5b9c1a9e5193","2025-06-06T19_09_25Z","Tradescantia zebrina var. zebrina","",60.51216721534729,43.472462972222,-80.534021972222,311,1,"","","",""
"9f49f579-7658-53e2-a700-c98439546339","2025-06-04T23_51_25Z","Cotoneaster dammeri","Bearberry cotoneaster",76.02231502532959,43.468663972222,-80.539462972222,292.437,1,"","","",""
"4eb2bc2f-a0e6-5308-9b52-9af7d3d1f5cf","2025-06-04T23_49_52Z","Salvia nemorosa","Balkan clary",90.40087461471558,43.468803,-80.540606972222,306.591,1,"","","",""
"10d4313b-1df1-50cf-97f3-e6a92b43d159","2025-06-04T03_46_30Z","Barbarea vulgaris agg.","Rocket cress",87.06446290016174,43.474933,-80.53879,302.035,1,"","","",""
"35d550bc-5e0c-5b77-8d93-856d0a938e2b","2025-06-04T03_46_21Z","Leucanthemum vulgare agg.","Marguerite daisy",88.84881734848022,43.474980972222,-80.538797972222,306.563,1,"","","",""
"0404a2da-6146-56cc-b04d-b5da52a817f3","2025-06-03T16_58_43Z","Rosa rugosa","Japanese rose",99.6553897857666,43.47176,-80.537238,309.141,1,"","","",""
"04de5f51-f79b-5d43-8707-70676d2bd5e2","2025-06-03T16_47_13Z","Capsella bursa-pastoris","Shepherd's purse",98.44616651535034,43.473427972222,-80.532933972222,313.622,1,"","","",""
"c39b7a1b-4c64-547d-a9c0-a15cdd2b52c4","2025-06-03T16_47_07Z","Arenaria serpyllifolia agg.","Thymeleaf sandwort",95.25348544120789,43.473443,-80.532906972222,315.096,1,"","","",""
"f791cc9c-70a9-5876-9fdb-d2191563d69f","2025-06-03T16_47_00Z","Oxalis dillenii","Sussex yellow-sorrel",58.97001028060913,43.473503,-80.532909,327.27,1,"","","Oxalis corniculata: 23.6471265554428",""
"72933538-d266-5d09-9d58-30ca6922f916","2025-06-02T23_51_17Z","Weigela florida","Weigelia",91.09249114990234,"","","","","","","",""
"69e509ed-8880-5d5e-8a2b-0680af54f33a","2025-05-29T14_40_37Z","Cornus alba agg.","White dogwood",98.1029212474823,43.470917,-80.545327972222,276.717,1,"","","",""
"93c1dd92-867c-5752-8bd6-03ca01d92214","2025-05-29T14_39_22Z","Hyacinthoides hispanica","Spanish bluebell",82.78794288635254,43.470503972222,-80.54598,305.933,1,"","","",""
"588ecffe-c0e8-5225-b018-28bc3df18fe5","2025-05-29T14_39_05Z","Caragana arborescens","Siberian pea-tree",97.91268110275269,43.470576,-80.546108,308.109,1,"","","",""
"3dc44672-4351-5e14-b877-5a57d14bddd8","2025-05-27T21_31_20Z","Spiraea chamaedryfolia","Germander meadowsweet",83.28157663345337,43.471826972222,-80.5437,324.822,1,"","","",""
"72933538-d266-5d09-9d58-30ca6922f916","2025-05-24T14_11_23Z","Fragaria virginiana","Virginia strawberry",79.35076951980591,"","","","","","","",""
"fd7fbd4a-ee95-5efe-a24b-8811079f68a1","2025-05-20T21_47_34Z","Berberis thunbergii","Japanese barberry",98.50978255271912,43.475242972222,-80.53296,338.831,1,"","","",""
"56e5ac0b-2ec2-59f6-9dc2-ca4d935ace0b","2025-05-20T21_45_34Z","Chaenomeles japonica","Japanese quince",77.65753269195557,43.476281,-80.533524972222,312.364,1,"","","Chaenomeles speciosa: 22.1991166472435",""
"905013d9-c500-574d-b540-17db5435ee92","2025-05-20T21_31_56Z","Aesculus hippocastanum","Horse-chestnut",99.75864291191101,43.479196972222,-80.541411972222,317.654,1,"","","",""
"cb660457-a791-5d17-b7bb-69f2af0c1892","2025-05-20T21_29_22Z","Sorbus aucuparia","Rowan",97.69173264503479,43.480041972222,-80.542621972222,323.508,1,"","","",""
"72933538-d266-5d09-9d58-30ca6922f916","2025-05-19T18_43_25Z","Galeobdolon luteum agg.","Artillery plant",99.9002993106842,"","","","","","","",""
"42628ce5-35a6-5b0e-871a-7b71b3df1b2c","2025-05-19T18_42_57Z","Pulsatilla vulgaris","Pasqueflower",90.77192544937134,43.540162972222,-79.596745972222,36.14,1,"","","",""
"5607efc3-ac9e-56a3-a6cd-8cf3df944509","2025-05-19T18_42_45Z","Phlox subulata","Moss phlox",99.44957494735718,43.540145,-79.59677,35.656,1,"","","",""
"72933538-d266-5d09-9d58-30ca6922f916","2025-05-19T18_19_29Z","Silene dioica","Red campion",99.13745522499084,"","","","","","","",""
"72933538-d266-5d09-9d58-30ca6922f916","2025-05-19T18_11_37Z","Pulmonaria officinalis agg.","Lungwort",87.56521344184875,"","","","","","","",""
"72933538-d266-5d09-9d58-30ca6922f916","2025-05-19T17_52_25Z","Prunus serrulata","Japanese cherry",33.582934737205505,"","","","","","","Malus sylvestris agg.: 27.0379245281219, Malus pumila: 20.1178699731827",""
"72933538-d266-5d09-9d58-30ca6922f916","2025-05-19T17_40_48Z","Malus sieboldii","Toringa crab apple",42.455244064331055,"","","","","","","Malus pumila: 34.5083802938461",""
